X,Y,OBJECTID,PAVADIN,GATVE,KRYPTIS,NUORODA,Troleibusai,Autobusai,Naktiniai_autobusai,WiFi,ID
25.2849372193052,54.7073385719276,8096,Giedraičių st.,,,http://stops.lt/0707,,,,,0707
25.2862968958148,54.7116867598625,8097,Tauragnų st.,,,http://stops.lt/0708,,,,,0708
25.2866841553167,54.7144817274265,8098,Pramogų arena,,,http://stops.lt/0709,,,,,0709
25.2780001970497,54.7129381790596,8099,Licėjus,,,http://stops.lt/0710,,,,,0710
25.2822061951242,54.7037776626034,8100,Žalgirio st.,,,http://stops.lt/0711,,,,,0711
25.283806140782,54.7224062607914,8101,Jono Kazlausko st.,,,http://stops.lt/0801,,,,,0801
25.2869273117447,54.7161864482276,8102,Pramogų arena,,,http://stops.lt/0802,,,,,0802
25.2867182724264,54.7123427442152,8103,Tauragnų st.,,,http://stops.lt/0803,,,,,0803
25.2883034299725,54.7150710702863,8104,Pramogų arena,,,http://stops.lt/0804,,,,,0804
25.2894675392986,54.715530447313,8105,Pramogų arena,,,http://stops.lt/0805,,,,,0805
25.295617829955,54.7173249301919,8106,Verkių st.,,,http://stops.lt/0806,,,,,0806
25.293595057829,54.7168657920498,8107,Verkių st.,,,http://stops.lt/0807,,,,,0807
25.301611910059,54.7198890676297,8108,Kareivių st.,,,http://stops.lt/0808,,,,,0808
25.3039278454354,54.7185926862669,8109,Kareivių st.,,,http://stops.lt/0810,,,,,0810
25.3035588489051,54.7193379844917,8110,Kareivių st.,,,http://stops.lt/0811,,,,,0811
25.3031633417653,54.720618222256,8111,Kareivių st.,,,http://stops.lt/0812,,,,,0812
25.296692703248,54.722156786398,8112,Autobusų parkas,,,http://stops.lt/0813,,,,,0813
25.3007081402633,54.7219026034555,8113,Žirmūnų seniūnija,,,http://stops.lt/0814,,,,,0814
25.2999445113811,54.7223555917062,8114,Žirmūnų seniūnija,,,http://stops.lt/0815,,,,,0815
25.2967394311248,54.7265683139179,8115,Šaltinėlio st.,,,http://stops.lt/0817,,,,,0817
25.3072522560536,54.7235574887335,8116,Valakampių tiltas,,,http://stops.lt/0819,,,,,0819
25.308491882578,54.724087757044,8117,Valakampių tiltas,,,http://stops.lt/0820,,,,,0820
25.3054452257386,54.7166623758112,8118,Žirmūnai,,,http://stops.lt/0821,,,,,0821
25.3050945023169,54.7159517795839,8119,Žirmūnai,,,http://stops.lt/0822,,,,,0822
25.2955326666353,54.7184266017215,8120,Verkių st.,,,http://stops.lt/0823,,,,,0823
25.2772983406455,54.7153897119017,8121,Ozo žiedas,,,http://stops.lt/0827,,,,,0827
25.3050926884343,54.7118183201755,8122,Šiaurės miestelis,,,http://stops.lt/0901,,,,,0901
25.3046535633758,54.7108301135267,8123,Šiaurės miestelis,,,http://stops.lt/0902,,,,,0902
25.3045419851509,54.7041817986471,8124,Minties st.,,,http://stops.lt/0903,,,,,0903
25.3041565405474,54.7036243319208,8125,Minties st.,,,http://stops.lt/0904,,,,,0904
25.3012966102695,54.6982321187975,8126,Tuskulėnų rimties parkas,,,http://stops.lt/0905,,,,,0905
25.3003155649803,54.6975732035509,8127,Tuskulėnų rimties parkas,,,http://stops.lt/0906,,,,,0906
25.2895463367408,54.694965565327,8128,„Žalgirio” stadionas,,,http://stops.lt/0907,,,,,0907
25.2961608085571,54.6956632905511,8129,Šeimyniškių st.,,,http://stops.lt/0908,,,,,0908
25.2970613482254,54.6970239960969,8130,Tuskulėnai,,,http://stops.lt/0909,,,,,0909
25.2965825613844,54.697730014701,8131,Tuskulėnai,,,http://stops.lt/0910,,,,,0910
25.2928981910907,54.7000877203405,8132,Mikalojaus Katkaus st.,,,http://stops.lt/0911,,,,,0911
25.2924615215798,54.7007797936996,8133,Mikalojaus Katkaus st.,,,http://stops.lt/0912,,,,,0912
25.2888727603239,54.7029880874513,8134,Trimitų st.,,,http://stops.lt/0913,,,,,0913
25.2840453336202,54.7041895112695,8135,Broniaus Laurinavičiaus skveras,,,http://stops.lt/0914,,,,,0914
25.2843417132867,54.7043615943519,8136,Žalgirio st.,,,http://stops.lt/0915,,,,,0915
25.2854987395088,54.7080424968127,8137,Giedraičių st.,,,http://stops.lt/0916,,,,,0916
25.2912802168999,54.7038880018262,8138,Apkasų st.,,,http://stops.lt/0917,,,,,0917
25.292607402935,54.7039951633798,8139,Apkasų st.,,,http://stops.lt/0918,,,,,0918
25.2988756290428,54.7050693515713,8140,Minties st.,,,http://stops.lt/0919,,,,,0919
25.2995235764221,54.7051028423483,8141,Minties st.,,,http://stops.lt/0920,,,,,0920
25.3023948462636,54.7107196165971,8142,Povilo Lukšio st.,,,http://stops.lt/0921,,,,,0921
25.3039217635996,54.7113906162963,8143,Šiaurės miestelis,,,http://stops.lt/0922,,,,,0922
25.2978597325812,54.7115230693382,8144,Šiaurės miestelis,,,http://stops.lt/0924,,,,,0924
25.2923942692555,54.7119319128016,8145,Jono Galvydžio st.,,,http://stops.lt/0926,,,,,0926
25.3836572019154,54.60651168745,8146,Skaidiškės st.,,,http://stops.lt/4314,,,,,4314
